"α1(t)×β1(t)","POF IE11","POF IE01","POF IE10","POF IE00"
49.5,71.1,82.55,77.9,78.9
64.85,94.3,95.15,95.5,94.95
58.1,82.7,88.4,88.5,87.15
81.6,87.45,90,90.05,88.8
93.9,91.9,93.45,92.95,92.55
95.15,93.85,94.15,94.3,94.05
95.3,93.8,94.1,94.2,94.5
94.7,94.65,95.2,95.2,95.15
94.65,95.4,95.5,95.85,95.45
93.65,95.15,95.55,95.6,95.25
93.9,94.6,95.75,95.1,94.9
94.45,94.25,94.75,94.6,94.6
93.85,93.4,94,94.3,94.1
94.4,93.45,93.75,94.15,93.3
94.4,94.3,94.25,94.85,94.75
94.8,94.9,95.25,95.5,94.75
95.1,95,93.95,94.8,94.7
95.1,94.65,94.75,94.7,94.4
94.95,94,94.65,93.65,94
94.45,93.5,94.75,93.25,93.6
