"γ(t) - DE","α1(t)×β1(t)","POF IE11","POF IE01","POF IE10","POF IE00"
93.85,64.65,92.45,92.45,92.1,92.1
94.9,57.8,94.95,94.45,93.9,94.5
94.15,42.2,94.15,93.1,92.9,94.75
93.15,35.05,95,93.6,89.3,94.3
92.45,34.8,93.15,94.2,79,90.65
92.7,31.9,90.3,93.85,73.6,90
93.6,33.9,92.1,92.9,71.45,88.85
93.55,33.2,90,93.75,67.7,87.9
93.95,29.95,86.65,92.55,63.8,84.9
94.15,31.45,87.3,94,64.45,89.2
94.1,29.65,89.75,94.3,63.95,86.35
93.35,33,89.85,93.95,62.9,87.2
93.5,32.3,88.2,93,66.6,87.75
93.15,30,92.65,95.05,65.15,89.85
93.75,32.65,88.4,94.1,64.95,89.3
94,27.75,85,91.65,60.85,87.5
94.6,32.25,91.05,94.8,59.35,89.75
95.35,41.6,87.85,93.05,70.05,89.45
95.2,54,91.55,94.15,80.65,91.7
95.3,65.2,95.2,94.8,88.55,95
