"α1(t)×β1(t)","POF IE11","POF IE01","POF IE10","POF IE00"
28.4,71.25,80.5,79.75,76.9
86.45,93.8,95.1,95.25,94.6
75.4,83.05,85.55,86.7,84.8
88.95,86.2,86.9,88.35,87.15
94.7,91.9,92,92.1,92.05
94.6,93.1,93.45,93.9,92.95
94.9,92.65,93.8,94.25,93.05
94.65,94.55,95.3,95.15,94.45
94.2,95.65,95.95,95.15,95.7
93.9,95.4,95.35,95.05,95.45
93.4,94.95,95,94.75,95.1
93.15,94.95,94.6,94.2,94.75
93.5,94.2,94.25,93.8,94.4
93.8,93.8,93.6,94.35,93.7
94.35,94.15,94,94.1,94.25
94.1,94.45,94.45,95.05,94.8
92.8,95,94.8,95.2,94.95
91.4,94.9,95.2,95,95.2
92,94.75,94.9,95.2,94.55
92.45,94.5,95.35,94.9,94.75
