"γ(t) - DE","α1(t)×β1(t)","POF IE11","POF IE01","POF IE10","POF IE00"
87.4,88.8,88.65,88.65,88.55,88.55
86.35,94.85,94.35,93.65,94.4,94.4
81.1,93.45,88.15,89.55,89.6,89.7
87.9,93.8,90.15,90.7,90.55,89.45
93.6,94.7,94.45,93.1,93.9,93.6
94.1,94.6,94.05,94.8,94.55,94.25
94.05,95.05,94.85,94.05,94.85,94.95
93.85,94.45,94.35,95.1,95.45,94.6
93.7,94.45,94.8,94.9,95.45,94.15
93.85,94.65,95.2,95.55,95.4,95.6
93.75,93.5,94.95,95.25,94.85,94.85
93.95,93.8,95.25,95.3,94.65,94.1
94.2,93.9,94.5,93.25,93.6,94.4
94.45,94.15,94.55,92.65,94.5,93.75
94.5,94.15,94.55,94.75,94.7,94.3
94.65,93.85,94.25,94.7,94.75,94
94.3,93.1,94.9,93.5,94.85,94.3
93.65,93.65,94.45,95.2,94.45,95.15
93.85,93.8,95.1,94.2,94.3,94.55
94.3,94.15,94.6,93.75,94.2,94.4
